Device,Temperature (C),Humidity,Timestamp
SHTC3,23.430,74.960,2022-06-16 18:08:09.459734+00:00
SHTC3,23.430,74.960,2022-06-16 18:08:09.971358+00:00
SHTC3,23.430,74.970,2022-06-16 18:08:10.480635+00:00
SHTC3,23.450,74.960,2022-06-16 18:08:10.993549+00:00
SHTC3,23.410,74.990,2022-06-16 18:08:11.508915+00:00
SHTC3,23.420,74.990,2022-06-16 18:08:12.011556+00:00
SHTC3,23.430,74.970,2022-06-16 18:08:12.525336+00:00
SHTC3,23.450,74.990,2022-06-16 18:08:13.034550+00:00
SHTC3,23.420,74.990,2022-06-16 18:08:13.548313+00:00
SHTC3,23.460,74.990,2022-06-16 18:08:14.061915+00:00
SHTC3,23.430,74.980,2022-06-16 18:08:14.574426+00:00
SHTC3,23.430,75.000,2022-06-16 18:08:15.086914+00:00
SHTC3,23.460,74.990,2022-06-16 18:08:15.603955+00:00
SHTC3,23.450,74.980,2022-06-16 18:08:16.117317+00:00
SHTC3,23.430,74.950,2022-06-16 18:08:16.631500+00:00
SHTC3,23.430,75.000,2022-06-16 18:08:17.145234+00:00
SHTC3,23.410,74.980,2022-06-16 18:08:17.659481+00:00
SHTC3,23.450,75.000,2022-06-16 18:08:18.172656+00:00
SHTC3,23.440,74.980,2022-06-16 18:08:18.675946+00:00
SHTC3,23.470,74.990,2022-06-16 18:08:19.182626+00:00
SHTC3,23.440,74.990,2022-06-16 18:08:19.695367+00:00
SHTC3,23.450,74.960,2022-06-16 18:08:20.207324+00:00
SHTC3,23.450,74.960,2022-06-16 18:08:20.721800+00:00
SHTC3,23.460,75.000,2022-06-16 18:08:21.221398+00:00
SHTC3,23.460,74.990,2022-06-16 18:08:21.731288+00:00
SHTC3,23.450,75.010,2022-06-16 18:08:22.246190+00:00
SHTC3,23.470,75.000,2022-06-16 18:08:22.755919+00:00
SHTC3,23.470,74.990,2022-06-16 18:08:23.272157+00:00
SHTC3,23.440,74.970,2022-06-16 18:08:23.779452+00:00
SHTC3,23.460,74.960,2022-06-16 18:08:24.292915+00:00
SHTC3,23.440,74.970,2022-06-16 18:08:24.796353+00:00
SHTC3,23.460,74.950,2022-06-16 18:08:25.308199+00:00
SHTC3,23.450,74.960,2022-06-16 18:08:25.815164+00:00
SHTC3,23.470,74.980,2022-06-16 18:08:26.317723+00:00
SHTC3,23.450,74.950,2022-06-16 18:08:26.832106+00:00
SHTC3,23.430,74.960,2022-06-16 18:08:27.342696+00:00
SHTC3,23.470,74.960,2022-06-16 18:08:27.851452+00:00
SHTC3,23.470,74.960,2022-06-16 18:08:28.350965+00:00
SHTC3,23.450,74.970,2022-06-16 18:08:28.863274+00:00
SHTC3,23.480,74.970,2022-06-16 18:08:29.365165+00:00
SHTC3,23.460,74.960,2022-06-16 18:08:29.878709+00:00
SHTC3,23.460,74.970,2022-06-16 18:08:30.391244+00:00
SHTC3,23.500,74.950,2022-06-16 18:08:30.890443+00:00
SHTC3,23.460,74.950,2022-06-16 18:08:31.394146+00:00
SHTC3,23.470,74.960,2022-06-16 18:08:31.898309+00:00
SHTC3,23.470,74.960,2022-06-16 18:08:32.401275+00:00
SHTC3,23.460,74.950,2022-06-16 18:08:32.905388+00:00
