Device,Current (mA),Timestamp
INA219,10.800,2022-06-16 18:11:56.034830+00:00
INA219,10.800,2022-06-16 18:11:56.601923+00:00
INA219,10.900,2022-06-16 18:11:57.053395+00:00
INA219,10.900,2022-06-16 18:11:57.615544+00:00
INA219,10.800,2022-06-16 18:11:58.070129+00:00
INA219,10.900,2022-06-16 18:11:58.628494+00:00
INA219,10.700,2022-06-16 18:11:59.094391+00:00
INA219,11.000,2022-06-16 18:11:59.656969+00:00
INA219,10.600,2022-06-16 18:12:00.107921+00:00
INA219,10.800,2022-06-16 18:12:00.667133+00:00
INA219,10.800,2022-06-16 18:12:01.121150+00:00
INA219,10.800,2022-06-16 18:12:01.683614+00:00
INA219,10.800,2022-06-16 18:12:02.137949+00:00
INA219,10.600,2022-06-16 18:12:02.699331+00:00
INA219,10.800,2022-06-16 18:12:03.165363+00:00
INA219,11.100,2022-06-16 18:12:03.725954+00:00
INA219,10.800,2022-06-16 18:12:04.194930+00:00
INA219,10.900,2022-06-16 18:12:04.761774+00:00
INA219,10.900,2022-06-16 18:12:05.199407+00:00
INA219,10.900,2022-06-16 18:12:05.760402+00:00
INA219,11.000,2022-06-16 18:12:06.216322+00:00
INA219,10.600,2022-06-16 18:12:06.780445+00:00
INA219,11.200,2022-06-16 18:12:07.218964+00:00
INA219,10.800,2022-06-16 18:12:07.782921+00:00
INA219,10.600,2022-06-16 18:12:08.250489+00:00
INA219,10.900,2022-06-16 18:12:08.812983+00:00
INA219,10.900,2022-06-16 18:12:09.279359+00:00
INA219,11.000,2022-06-16 18:12:09.838237+00:00
INA219,10.800,2022-06-16 18:12:10.305991+00:00
INA219,11.000,2022-06-16 18:12:10.873473+00:00
INA219,10.700,2022-06-16 18:12:11.324645+00:00
INA219,10.800,2022-06-16 18:12:11.885129+00:00
INA219,11.100,2022-06-16 18:12:12.340966+00:00
INA219,11.000,2022-06-16 18:12:12.897350+00:00
INA219,11.500,2022-06-16 18:12:13.351207+00:00
INA219,11.300,2022-06-16 18:12:13.913322+00:00
INA219,11.000,2022-06-16 18:12:14.382310+00:00
INA219,11.000,2022-06-16 18:12:14.943684+00:00
INA219,10.900,2022-06-16 18:12:15.411155+00:00
INA219,11.200,2022-06-16 18:12:15.976879+00:00
INA219,11.100,2022-06-16 18:12:16.427964+00:00
INA219,11.100,2022-06-16 18:12:16.989343+00:00
INA219,10.900,2022-06-16 18:12:17.455347+00:00
INA219,11.000,2022-06-16 18:12:18.019340+00:00
INA219,11.100,2022-06-16 18:12:18.470588+00:00
INA219,11.000,2022-06-16 18:12:19.032434+00:00
INA219,11.300,2022-06-16 18:12:19.500425+00:00
INA219,11.100,2022-06-16 18:12:20.061607+00:00
INA219,11.000,2022-06-16 18:12:20.532051+00:00
INA219,11.200,2022-06-16 18:12:21.078212+00:00
INA219,11.000,2022-06-16 18:12:21.561106+00:00
INA219,11.200,2022-06-16 18:12:22.123421+00:00
INA219,11.300,2022-06-16 18:12:22.588939+00:00
INA219,11.000,2022-06-16 18:12:23.153472+00:00
INA219,11.300,2022-06-16 18:12:23.605598+00:00
INA219,11.000,2022-06-16 18:12:24.167770+00:00
INA219,11.200,2022-06-16 18:12:24.633732+00:00
INA219,11.100,2022-06-16 18:12:25.196893+00:00
INA219,11.200,2022-06-16 18:12:25.665373+00:00
INA219,11.000,2022-06-16 18:12:26.226595+00:00
INA219,11.200,2022-06-16 18:12:26.680960+00:00
INA219,11.300,2022-06-16 18:12:27.250568+00:00
INA219,11.000,2022-06-16 18:12:27.689852+00:00
INA219,11.200,2022-06-16 18:12:28.257307+00:00
INA219,10.900,2022-06-16 18:12:28.694492+00:00
INA219,11.300,2022-06-16 18:12:29.259932+00:00
INA219,11.000,2022-06-16 18:12:29.711894+00:00
INA219,11.000,2022-06-16 18:12:30.275711+00:00
INA219,11.200,2022-06-16 18:12:30.727328+00:00
INA219,11.300,2022-06-16 18:12:31.285661+00:00
INA219,11.200,2022-06-16 18:12:31.741126+00:00
INA219,11.000,2022-06-16 18:12:32.305377+00:00
INA219,11.300,2022-06-16 18:12:32.771327+00:00
INA219,11.200,2022-06-16 18:12:33.334733+00:00
INA219,11.400,2022-06-16 18:12:33.787364+00:00
INA219,11.100,2022-06-16 18:12:34.348548+00:00
INA219,10.900,2022-06-16 18:12:34.817536+00:00
INA219,11.000,2022-06-16 18:12:35.362801+00:00
INA219,11.200,2022-06-16 18:12:35.846917+00:00
INA219,11.300,2022-06-16 18:12:36.410068+00:00
INA219,11.200,2022-06-16 18:12:36.850447+00:00
INA219,11.200,2022-06-16 18:12:37.413538+00:00
INA219,11.300,2022-06-16 18:12:37.863865+00:00
INA219,11.300,2022-06-16 18:12:38.425487+00:00
INA219,11.000,2022-06-16 18:12:38.879933+00:00
INA219,10.800,2022-06-16 18:12:39.443855+00:00
INA219,11.000,2022-06-16 18:12:39.896812+00:00
INA219,11.200,2022-06-16 18:12:40.458493+00:00
INA219,11.000,2022-06-16 18:12:40.909795+00:00
INA219,10.900,2022-06-16 18:12:41.470874+00:00
INA219,11.200,2022-06-16 18:12:41.938896+00:00
INA219,11.100,2022-06-16 18:12:42.501988+00:00
INA219,11.000,2022-06-16 18:12:42.967697+00:00
INA219,11.000,2022-06-16 18:12:43.530221+00:00
INA219,11.200,2022-06-16 18:12:43.982718+00:00
INA219,10.900,2022-06-16 18:12:44.545704+00:00
INA219,11.200,2022-06-16 18:12:45.000849+00:00
INA219,11.100,2022-06-16 18:12:45.561015+00:00
INA219,11.200,2022-06-16 18:12:46.029488+00:00
INA219,11.000,2022-06-16 18:12:46.593878+00:00
INA219,11.300,2022-06-16 18:12:47.034780+00:00
INA219,11.400,2022-06-16 18:12:47.596868+00:00
INA219,11.000,2022-06-16 18:12:48.067781+00:00
INA219,11.300,2022-06-16 18:12:48.630616+00:00
INA219,11.200,2022-06-16 18:12:49.083876+00:00
INA219,11.200,2022-06-16 18:12:49.643876+00:00
INA219,11.300,2022-06-16 18:12:50.110692+00:00
